words,counts
fateful,164
encounter,833
truck,35
had,935
rendered,34
takafumi,15
takaokas,3
ojisan,5
yousuke,10
shibazaki,6
comatose,10
past,823
17,54
years,2380
when,3971
finally,650
regains,27
consciousness,78
begins,1370
ramble,5
foreign,92
tongue,3
reveals,190
been,2027
transported,172
magical,729
world,4578
called,1517
gran,18
bahamal,3
dismisses,9
uncles,7
claims,129
as,9677
nonsense,31
until,651
incantation,6
makes,604
cup,131
water,113
hover,3
air,135
flash,106
brilliance,80
pair,375
creates,38
youtube,516
channel,450
showcase,44
ojisans,3
abilitiesthe,3
responsibility,69
now,2462
falls,388
takafumis,3
shoulders,23
acquaint,3
everything,580
has,5809
transpired,19
during,956
absence,77
including,708
getting,314
him,3505
up,2940
speed,57
internet,83
new,4711
technology,222
surprisingly,38
outcome,17
90s,11
console,6
warthe,3
result,318
which,2215
was,3032
especially,154
distressing,9
hardcore,25
sega,19
fan,72
wisdom,23
from,6733
other,2509
experiences,216
grow,406
tackle,20
online,252
comments,9
trolls,3
journey,1079
unclenephew,3
duo,274
promises,215
be,4980
anything,340
but,5371
conventional,29
intrepid,10
adventurer,60
bell,103
cranel,20
leveled,5
cant,375
rest,464
dungeoneering,5
laurels,5
just,1450
yet,688
hestia,20
familia,10
still,1043
long,928
way,1803
go,879
before,1684
can,2545
stand,349
toetotoe,5
familias,15
orario,15
set,1265
out,2867
next,791
mission,532
reports,23
brutal,67
murder,166
rock,144
adventuring,11
community,76
one,4986
bells,20
trusted,27
allies,266
stands,140
accused,64
horrible,15
crime,198
its,2711
friends,2872
clear,146
name,911
uncover,267
nefarious,70
plot,134
brewing,126
dungeons,43
dark,717
depthssource,5
sentai,50
filmworks,47
utathe,6
most,1760
beloved,210
singer,75
renowned,157
concealing,6
her,5129
own,1859
identity,379
performing,243
voice,285
come,1108
described,27
otherworldly,87
first,2410
time,2592
ever,764
uta,129
will,4292
reveal,120
herself,777
at,5023
live,1125
concert,82
venue,32
fills,22
all,3894
kinds,81
fansexcited,6
pirates,166
navy,18
watching,140
closely,42
straw,77
hats,14
led,440
luffy,163
who,6796
simply,99
came,387
enjoy,181
sonorous,6
performancethe,6
whole,204
waiting,122
about,3342
resound,6
story,2145
shocking,101
fact,417
shanks,10
daughtersource,6
crunchyroll,496
toei,42
animation,953
inc,22
shinichi,162
kudou,162
high,2226
school,3881
student,1945
astounding,160
talent,414
detective,366
work,1110
well,920
known,1796
having,1228
solved,158
several,414
challenging,271
cases,250
day,3005
spots,189
two,2805
suspicious,214
men,556
decides,957
follow,572
them,3302
inadvertently,185
becomes,981
witness,262
disturbing,170
illegal,164
activity,210
unfortunately,564
caught,420
act,368
so,1503
dose,145
experimental,218
drug,174
formulated,148
criminal,225
organization,752
leaving,446
death,962
however,3976
astonishment,152
lives,1703
see,849
another,1150
body,668
sevenyearold,145
childperfectly,145
preserving,158
original,817
intelligence,299
hides,207
real,568
everyone,585
childhood,792
friend,1449
ran,187
mouri,152
father,879
private,384
kogorou,173
end,1040
takes,1270
alias,166
conan,189
edogawa,162
inspired,291
mystery,473
writers,147
arthur,193
doyle,145
ranpo,156
edogawadetective,145
follows,1585
starts,539
secretly,249
solving,347
senior,252
mouris,149
behind,1194
scenes,319
exceptional,195
sleuthing,145
skills,663
while,2929
covertly,160
investigating,248
responsible,345
current,328
state,393
hoping,304
reverse,159
drugs,159
effects,213
somedaywritten,145
mal,7059
rewrite,6601
sightings,29
mysterious,2467
creatures,683
hologram,16
ghosts,123
have,3581
popular,761
topic,29
social,162
networks,26
few,440
according,92
rumors,133
people,1742
fallen,184
victim,84
these,2033
specters,20
those,892
fortunate,42
survive,188
encounters,598
paranormal,58
beings,252
claim,172
resembled,16
glitched,16
hologramshazakura,16
academy,846
middle,734
hiro,58
amanokawa,16
believes,336
merely,54
urban,55
legend,306
incidents,91
start,592
increase,49
frequency,16
reminded,27
suddenly,870
vanished,49
strange,1043
digital,174
watches,68
serving,100
only,3096
relics,38
disappearance,102
much,764
like,1476
what,2235
happened,112
hiros,23
cannot,420
explained,24
logic,28
fellow,617
attacked,286
ghost,261
kiyoshirou,16
higashimitarai,16
decide,517
look,264
into,3971
matter,307
little,1167
does,628
know,762
investigation,136
step,234
toward,454
discovering,236
dangerous,358
previously,218
unknown,405
mankind,217
second,1265
season,1968
hataraku,31
maousama,11
doraemon,213
2005,185
recent,311
anime,2330
series,2561
based,650
fujiko,206
fujios,189
manga,1046
same,1300
version,519
1979,185
certain,497
changes,480
thingsdoraemon,185
catlike,199
robot,617
appears,635
present,551
steer,197
nobitanoby,185
dumb,190
naive,203
clumsy,286
boy,1762
right,533
path,553
order,1640
secure,246
future,1095
nobitas,193
love,1457
interest,398
shizuka,211
minamotosue,185
frenemies,185
takeshi,197
godabig,185
g,243
suneosneechsource,185
wikipedia,458
5000yearold,3
herbivorous,3
dragon,453
living,868
peacefully,68
young,2168
girl,2137
showed,27
cave,39
offered,35
sacrifice,82
gain,145
favor,44
village,497
played,84
along,1195
great,756
evil,612
demon,465
lords,55
army,329
leader,297
get,1024
rid,41
white,425
lie,144
awoke,3
hidden,444
powers,795
peaceful,389
life,3526
ended,111
source,1165
mu,93
edited,320
four,578
months,206
after,3894
battle,1379
nagoya,27
castle,121
yuyu,6
received,112
invitation,67
tournamentthat,2
deluxe,20
tournament,318
aims,228
determine,99
strongest,356
fighter,96
bringing,110
together,1909
both,1169
front,285
fighters,79
active,36
official,1023
tournaments,49
powerhouse,33
counter,207
blackout,4
compete,292
against,1619
each,1668
flagsthe,2
existing,29
characters,868
overdress,2
competing,68
willdress,2
such,1159
raika,2
michiru,20
urara,20
become,2266
allsource,30
site,205
night,876
star,481
down,970
chimney,101
bakery,116
nestled,99
deep,337
forest,624
causing,255
dough,108
oven,99
anpanman,117
superhero,141
made,637
anpan,99
sweet,152
roll,116
bean,108
jam,113
filling,113
fights,293
rival,440
baikinman,105
helps,273
malnourished,99
ann,2319
comic,104
bono,57
mikio,57
igarashi,69
seen,293
over,1336
9000000,57
total,153
copies,59
printed,57
definitive,70
animated,659
emotionally,66
soothing,70
characterdriven,57
make,1442
ask,140
yourself,85
philosophical,59
question,184
things,933
laughing,79
heartwarming,194
gags,233
being,2168
entertained,231
interactions,122
amusing,71
bonobono,61
sea,211
otter,61
chipmunk,57
fishing,81
cat,538
moreenjoy,57
easygoing,83
days,774
minor,97
misadventures,138
friendssource,81
fuji,108
creative,108
gudetama,80
egg,226
dead,410
completely,402
lacks,142
motivation,140
no,3473
cooking,159
method,168
use,827
remains,334
unmovedsource,72
show,777
feature,284
unique,640
returning,134
yokai,49
comedy,255
also,1763
center,267
main,650
fifthgrader,24
keita,127
nate,24
english,82
butler,59
whisper,84
jibanyan,87
komasan,24
cast,369
members,1255
seriessource,82
meet,689
hells,15
adorable,101
messengerchimimo,2
might,524
average,114
horde,31
minions,23
big,448
dreams,601
unleashing,52
hell,113
earth,981
too,574
bad,122
portal,67
human,994
realm,273
drops,45
onigami,5
household,76
where,2183
familys,173
three,1153
unflappable,2
sisters,180
rule,106
roost,2
iron,58
fists,14
chimimo,2
stuck,74
freeloading,4
roommate,39
ambitions,97
apocalypse,9
wait,24
summon,97
willpower,7
off,1083
couchsource,2
whim,18
firstyear,128
ayumu,14
tanaka,45
quits,20
kendo,15
club,697
join,744
illegitimate,17
shogi,49
urushi,5
yaotome,5
president,234
master,572
thrilled,21
playing,431
partner,440
ayumus,8
upperclassman,72
endeavors,91
mentor,77
role,176
model,78
often,710
finds,1503
blushing,5
embarrassment,22
stonefaced,11
honest,37
sees,390
issue,58
calling,68
cute,268
although,744
likes,207
refrains,5
confessing,13
himself,1522
beat,80
game,1165
shogithrough,5
games,424
students,838
many,1422
hilarious,99
adventures,661
enjoys,68
every,1022
beating,34
commitment,17
chance,643
confess,66
feelings,402
written,440
bayron,2
city,1223
pioneering,5
metropolis,99
built,88
newly,228
discovered,195
energy,283
citizen,20
luxurious,17
comfortable,25
lifestyle,219
reality,378
exterminator,26
shuu,24
ogatas,10
far,614
extravagant,14
despite,1184
running,182
military,314
business,254
struggles,339
ends,335
due,1072
reckless,41
expenses,21
fortunately,83
kisara,2
more,2390
than,1453
eager,163
help,1645
mattersalbeit,2
forcefully,16
comfortthe,2
side,555
taking,516
countermeasures,4
hazards,2
biggest,133
threats,93
danger,176
lurking,135
shadows,95
strive,116
grant,155
towns,91
safety,269
exterminating,14
possessed,65
comes,809
price,71
unbeknownst,120
others,755
kanto,88
region,343
satoshi,196
gets,736
invited,163
professor,154
yukinari,65
ookido,65
sakuragis,60
labopening,60
ceremony,181
vermillion,60
ceremonial,61
speech,104
sakuragi,71
receives,387
alert,71
possibly,245
rare,293
pokémon,250
appearing,178
citys,147
harbor,84
leading,330
trainers,82
rush,133
area,185
hopes,660
finding,471
find,2037
lugiaa,60
legendary,636
pokémonengaged,60
combat,366
trainersnoticing,60
tactics,89
pikachu,194
strike,202
lugia,60
thunderbolt,84
attack,461
unfazed,81
flees,104
not,2848
determinedly,60
leaps,74
onto,175
back,1345
satoshis,60
surprise,337
meets,994
gou,84
leapt,60
lugias,60
ride,135
brings,383
bizarre,215
adventure,850
across,685
seas,104
lets,146
ground,247
bid,88
farewells,62
return,656
instituteimpressed,60
gous,60
findings,77
insight,91
taken,325
requests,149
research,248
partners,154
duos,74
traveling,163
multiple,142
regions,83
pokémonincluding,60
ones,417
ability,652
gigantamaxwritten,60
became,309
lovers,65
flirted,2
disagreed,2
trivial,17
frequently,60
irritated,2
rather,348
excited,106
breaking,54
graduation,121
mizuto,2
irido,2
yume,85
ayai,2
wound,18
meeting,420
unexpected,322
fashionisnt,2
obvious,17
im,18
elder,275
brotherisnt,2
sisterthe,2
children,441
parents,587
remarriage,2
were,905
exloversthe,2
former,580
couple,125
mindful,2
decided,145
sibling,27
conscious,13
opposite,111
sex,48
loses,126
bathroom,22
commute,2
memories,506
under,932
roof,40
how,1043
do,1137
disregard,12
kadokawa,8
translated,67
nagi,27
umino,8
erika,27
amano,54
studious,45
media,78
nothing,591
linked,69
togetheruntil,8
found,444
swapped,8
birth,95
sudden,280
news,712
revealed,308
families,47
quickly,645
devise,46
proposition,24
neither,126
nagis,8
nor,110
erikas,12
knowledge,237
restore,160
rightful,25
ensure,135
everyones,159
happiness,163
should,197
engagedwhen,8
informed,25
quick,71
reject,23
absurd,54
plan,421
refusing,40
wishes,390
party,205
willing,161
tell,181
relationship,417
there,1542
thing,470
uneventful,186
kindergartener,160
shinnosuke,183
shinchan,169
nohara,173
fiveyearold,162
cut,234
above,282
troublesome,194
perverted,200
shameless,175
kid,261
imagine,191
almost,324
always,826
engaged,227
questionable,176
activities,313
forgetting,170
hide,295
seek,323
sumo,242
wrestling,185
various,973
notorious,244
elephant,169
public,373
flirting,160
college,315
girls,1515
exemplary,165
troublemaker,204
done,323
plans,456
stop,681
anytime,165
sooncrayon,160
daily,672
shenanigans,199
group,1586
parading,160
around,1596
selfproclaimed,346
kasukabe,172
defense,345
force,689
adults,337
witnessing,257
unfold,211
adore,160
keeps,297
unintentionally,180
troubles,243
through,1795
mindless,163
anticsleaving,160
problem,308
withwritten,165
fuuta,1
home,1297
tired,61
wants,447
spend,191
